V1, V2
1191,2483
1191,3005
1191,2124
1191,3267
1192,3109
1193,2650
1196,3364
1196,2457
1196,3478
1196,2307
1197,2857
1197,2297
1197,3526
1197,3259
1197,2918
1197,3723
1198,2487
1198,2096
1198,2806
1198,3016
1198,2590
1198,3401
1198,3310
1199,3796
1199,2707
1199,3480
1199,2236
1199,3480
1200,3773
1200,2250
1201,2524
1201,3230
1201,3753
1201,3550
1202,3431
1202,2563
1202,3166
1202,3102
1202,2565
1202,2801
1202,3809
1203,3709
1203,3323
1203,3019
1203,2091
1203,2091
1204,2158
1205,3552
1205,3031
1206,2777
1209,2569
1211,3600
1211,1917
1213,3743
1213,3603
1213,2454
1217,2067
1217,2805
1217,3517
1217,3513
1217,3147
1217,2277
1220,3783
1220,2253
1220,2342
1220,2992
1220,2640
1220,3264
1220,1871
1221,3259
1221,2047
1221,2204
1221,2047
1221,2760
1221,2024
1221,3403
1221,3648
1221,2967
1221,2760
1223,2884
1224,2353
1229,2353
1230,3653
1230,3397
1230,3098
1230,2159
1230,2213
1231,3653
1231,3397
1231,3098
1231,2159
1231,2213
1234,2979
1234,3586
1234,2668
1236,2005
1236,3618
1236,3472
1236,3277
1236,3127
1238,3602
1238,2579
1238,3699
1238,3145
1238,3195
1238,3703
1238,2420
1238,2770
1238,3764
1238,3445
1238,3754
1238,3291
1238,2030
1238,3454
1238,3754
1239,2154
1242,3415
1242,3415
1242,2753
1245,1913
1245,2507
1245,2000
1245,1991
1246,2928
1246,2675
1249,1982
1249,2159
1251,3736
1251,2486
1251,3137
1252,3259
1253,2895
1253,2261
1253,2057
1253,2446
1253,2428
1253,2057
1253,3250
1253,2057
1253,2057
1253,2057
1253,3607
1253,3479
1253,2790
1253,3555
1253,3907
1253,3144
1253,2227
1253,2116
1253,3661
1253,2464
1253,3254
1253,2381
1253,1948
1253,3134
1253,2245
1253,2583
1253,2125
1253,2403
1260,3594
1260,2260
1261,3846
1261,3846
1261,2647
1261,3846
1261,3338
1261,2647
1261,3846
1261,3027
1261,2752
1264,3734
1264,3319
1264,3535
1265,3912
1265,3390
1265,2749
1265,3882
1265,3407
1265,1999
1265,2015
1265,2733
1265,3437
1265,3251
1265,3528
1265,3251
1265,3561
1265,2110
1265,2448
1265,3716
1265,3349
1265,3871
1265,2674
1265,2698
1265,2801
1265,2801
1265,3349
1265,2925
1265,2925
1265,2674
1265,3486
1265,2539
1267,2535
1267,3838
1267,2812
1267,3246
1267,2543
1267,3355
1267,2763
1267,3626
1267,3804
1267,2195
1267,2195
1267,2812
1267,2812
1267,2812
1267,3626
1267,3626
1270,2491
1270,2422
1270,2782
1270,2219
1270,3300
1270,2108
1270,3539
1270,2208
1270,2602
1270,2347
1270,3064
1273,3514
1273,2037
1274,2138
1283,2299
1284,1937
1284,2933
1286,2728
1288,2241
1288,1987
1288,1953
1291,3493
1291,2704
1293,2694
1293,2834
1293,2665
1293,2298
1293,2210
1294,3109
1295,3524
1295,2390
1295,3721
1298,3380
1298,2514
1298,2727
1300,3399
1300,2422
1300,2782
1300,2219
1300,3300
1300,2108
1300,3539
1300,2208
1300,2602
1300,2347
1300,3064
1302,3399
1302,2422
1302,2782
1302,2219
1302,3300
1302,2108
1302,3539
1302,2208
1302,2602
1302,2347
1302,3064
1303,3689
1303,3874
1303,2438
1303,3344
1303,2282
1303,3000
1303,2225
1303,2185
1303,3427
1307,1881
1307,2016
1309,3072
1310,2194
1310,2734
1310,3003
1310,1914
1310,2194
1310,2986
1312,3525
1312,3525
1312,3067
1312,2275
1312,3067
1312,2275
1312,2714
1312,2240
1312,2201
1312,3398
1312,2714
1312,2816
1312,3367
1312,2178
1312,3525
1312,2275
1314,2235
1314,2400
1314,2580
1314,2235
1316,3322
1316,3788
1316,3788
1318,2773
1319,2787
1319,3301
1319,3329
1319,3215
1322,3699
1322,3195
1322,3818
1326,2677
1326,3170
1326,3160
1326,2845
1326,2521
1326,1912
1328,2839
1328,3880
1328,2902
1328,2757
1328,2702
1328,1873
1328,3855
1331,2699
1331,2699
1333,2132
1333,2343
1333,2302
1333,2326
1333,2801
1333,2539
1333,1904
1333,3272
1333,2152
1333,2120
1333,2801
1333,2163
1333,3307
1333,2801
1333,2063
1333,3223
1333,3192
1333,2149
1333,3296
1333,2292
1333,2271
1333,3615
1333,3657
1333,2149
1333,2404
1333,3459
1335,2198
1335,2198
1335,2880
1335,2742
1336,2895
1336,2261
1336,2057
1336,2446
1336,2428
1336,2057
1336,3250
1336,2057
1336,2057
1336,2057
1336,3607
1336,3479
1336,2790
1336,3555
1336,3907
1336,3144
1336,2227
1336,2116
1336,3661
1336,2464
1336,3254
1336,2381
1336,1948
1336,3134
1336,2245
1336,2583
1336,2125
1336,2403
1339,3702
1339,2913
1339,3105
1339,3060
1339,3702
1339,2394
1339,2394
1339,1944
1340,2095
1340,2187
1340,3521
1340,3515
1340,3515
1340,2751
1345,2315
1345,2810
1346,2212
1346,2823
1346,3557
1346,3754
1346,2823
1349,3361
1349,3405
1349,3405
1349,3434
1351,2340
1352,3468
1352,3649
1353,2377
1356,2377
1358,3419
1358,1996
1358,3414
1358,3643
1358,2649
1358,3200
1359,3419
1359,1996
1359,3414
1359,3643
1359,2649
1359,3200
1364,2993
1367,1998
1369,2527
1369,3624
1369,1908
1371,2120
1371,3651
1371,3012
1371,1945
1371,3397
1371,3651
1371,3651
1372,1932
1372,2906
1372,2403
1374,3702
1374,1975
1374,2818
1374,3852
1374,3702
1375,3051
1376,3051
1377,3130
1377,2657
1378,3585
1378,3337
1378,3745
1378,1885
1378,2237
1378,3269
1378,2226
1378,1926
1380,2748
1382,3095
1382,3806
1384,3777
1384,2951
1384,3422
1384,3777
1384,2407
1384,2419
1385,2093
1385,2093
1387,2093
1387,2093
1392,2038
1392,3751
1396,3202
1396,3438
1396,3015
1396,3347
1396,3586
1398,3686
1400,2801
1400,2801
1400,2120
1400,2539
1400,3411
1401,3326
1401,3407
1401,3407
1401,3871
1401,3349
1401,3251
1401,3528
1401,3251
1401,3489
1401,3706
1401,3706
1401,2674
1401,1894
1401,2355
1401,2801
1401,3129
1401,3593
1401,3561
1401,2133
1401,2539
1402,3205
1402,2388
1402,2305
1406,3718
1406,2472
1407,1982
1407,2129
1409,3407
1409,2232
1409,2733
1409,3528
1409,2232
1409,3871
1409,3349
1409,1894
1410,3509
1411,2988
1411,2923
1411,1968
1411,2362
1412,2224
1412,3241
